time, infected, susceptable
0, 0.016, 0.984
1, 0.018, 0.982
2, 0.017, 0.983
3, 0.017, 0.983
4, 0.022, 0.978
5, 0.024, 0.976
6, 0.023, 0.977
7, 0.026, 0.974
8, 0.029, 0.971
9, 0.029, 0.971
10, 0.031, 0.969
11, 0.030, 0.970
12, 0.030, 0.970
13, 0.034, 0.966
14, 0.036, 0.964
15, 0.034, 0.966
16, 0.036, 0.964
17, 0.034, 0.966
18, 0.035, 0.965
19, 0.031, 0.969
20, 0.036, 0.964
21, 0.037, 0.963
22, 0.035, 0.965
23, 0.036, 0.964
24, 0.033, 0.967
25, 0.037, 0.963
26, 0.038, 0.962
27, 0.038, 0.962
28, 0.039, 0.961
29, 0.039, 0.961
30, 0.037, 0.963
31, 0.043, 0.957
32, 0.047, 0.953
33, 0.050, 0.950
34, 0.047, 0.953
35, 0.051, 0.949
36, 0.049, 0.951
37, 0.049, 0.951
38, 0.050, 0.950
39, 0.048, 0.952
40, 0.049, 0.951
41, 0.051, 0.949
42, 0.049, 0.951
43, 0.048, 0.952
44, 0.046, 0.954
45, 0.044, 0.956
46, 0.048, 0.952
47, 0.049, 0.951
48, 0.053, 0.947
49, 0.054, 0.946
50, 0.057, 0.943
51, 0.058, 0.942
52, 0.056, 0.944
53, 0.062, 0.938
54, 0.068, 0.932
55, 0.073, 0.927
56, 0.074, 0.926
57, 0.076, 0.924
58, 0.073, 0.927
59, 0.076, 0.924
60, 0.076, 0.924
61, 0.081, 0.919
62, 0.079, 0.921
63, 0.080, 0.920
64, 0.080, 0.920
65, 0.074, 0.926
66, 0.077, 0.923
67, 0.071, 0.929
68, 0.071, 0.929
69, 0.063, 0.937
70, 0.066, 0.934
71, 0.070, 0.930
72, 0.074, 0.926
73, 0.076, 0.924
74, 0.077, 0.923
75, 0.070, 0.930
76, 0.065, 0.935
77, 0.067, 0.933
78, 0.071, 0.929
79, 0.072, 0.928
80, 0.074, 0.926
81, 0.075, 0.925
82, 0.071, 0.929
83, 0.065, 0.935
84, 0.064, 0.936
85, 0.070, 0.930
86, 0.073, 0.927
87, 0.073, 0.927
88, 0.075, 0.925
89, 0.076, 0.924
90, 0.074, 0.926
91, 0.071, 0.929
92, 0.069, 0.931
93, 0.071, 0.929
94, 0.069, 0.931
95, 0.070, 0.930
96, 0.071, 0.929
97, 0.068, 0.932
98, 0.073, 0.927
99, 0.072, 0.928
