time, infected, susceptable
0, 0.016, 0.984
1, 0.042, 0.958
2, 0.335, 0.665
3, 0.562, 0.438
4, 0.456, 0.544
5, 0.539, 0.461
6, 0.476, 0.524
7, 0.521, 0.479
8, 0.478, 0.522
9, 0.513, 0.487
10, 0.484, 0.516
11, 0.511, 0.489
12, 0.501, 0.499
13, 0.496, 0.504
14, 0.506, 0.494
15, 0.496, 0.504
16, 0.503, 0.497
17, 0.484, 0.516
18, 0.511, 0.489
19, 0.493, 0.507
20, 0.491, 0.509
21, 0.512, 0.488
22, 0.495, 0.505
23, 0.510, 0.490
24, 0.497, 0.503
25, 0.509, 0.491
26, 0.494, 0.506
27, 0.512, 0.488
28, 0.488, 0.512
29, 0.506, 0.494
30, 0.495, 0.505
31, 0.509, 0.491
32, 0.490, 0.510
33, 0.514, 0.486
34, 0.489, 0.511
35, 0.505, 0.495
36, 0.496, 0.504
37, 0.499, 0.501
38, 0.496, 0.504
39, 0.503, 0.497
40, 0.493, 0.507
41, 0.495, 0.505
42, 0.494, 0.506
43, 0.508, 0.492
44, 0.487, 0.513
45, 0.509, 0.491
46, 0.502, 0.498
47, 0.511, 0.489
48, 0.505, 0.495
49, 0.502, 0.498
50, 0.502, 0.498
51, 0.500, 0.500
52, 0.496, 0.504
53, 0.495, 0.505
54, 0.505, 0.495
55, 0.503, 0.497
56, 0.502, 0.498
57, 0.500, 0.500
58, 0.496, 0.504
59, 0.511, 0.489
60, 0.486, 0.514
61, 0.512, 0.488
62, 0.491, 0.509
63, 0.505, 0.495
64, 0.495, 0.505
65, 0.498, 0.502
66, 0.486, 0.514
67, 0.516, 0.484
68, 0.487, 0.512
69, 0.507, 0.493
70, 0.495, 0.505
71, 0.503, 0.497
72, 0.495, 0.505
73, 0.505, 0.495
74, 0.500, 0.500
75, 0.512, 0.488
76, 0.491, 0.509
77, 0.513, 0.487
78, 0.504, 0.496
79, 0.492, 0.508
80, 0.505, 0.495
81, 0.493, 0.507
82, 0.509, 0.491
83, 0.499, 0.501
84, 0.497, 0.503
85, 0.506, 0.494
86, 0.489, 0.511
87, 0.513, 0.487
88, 0.487, 0.512
89, 0.509, 0.491
90, 0.493, 0.507
91, 0.508, 0.492
92, 0.496, 0.504
93, 0.507, 0.493
94, 0.495, 0.505
95, 0.519, 0.481
96, 0.477, 0.523
97, 0.506, 0.494
98, 0.495, 0.505
99, 0.512, 0.488
