time, infected, susceptable
0, 0.016, 0.984
1, 0.068, 0.932
2, 0.110, 0.890
3, 0.170, 0.830
4, 0.242, 0.758
5, 0.329, 0.671
6, 0.403, 0.597
7, 0.439, 0.561
8, 0.470, 0.530
9, 0.498, 0.502
10, 0.494, 0.506
11, 0.508, 0.492
12, 0.508, 0.492
13, 0.525, 0.475
14, 0.505, 0.495
15, 0.515, 0.485
16, 0.508, 0.492
17, 0.516, 0.484
18, 0.502, 0.498
19, 0.523, 0.477
20, 0.506, 0.494
21, 0.523, 0.477
22, 0.502, 0.498
23, 0.513, 0.487
24, 0.512, 0.488
25, 0.510, 0.490
26, 0.507, 0.493
27, 0.509, 0.491
28, 0.523, 0.477
29, 0.502, 0.498
30, 0.512, 0.488
31, 0.521, 0.479
32, 0.515, 0.485
33, 0.513, 0.487
34, 0.518, 0.482
35, 0.512, 0.488
36, 0.514, 0.486
37, 0.520, 0.480
38, 0.513, 0.487
39, 0.516, 0.484
40, 0.501, 0.499
41, 0.530, 0.470
42, 0.507, 0.493
43, 0.519, 0.481
44, 0.510, 0.490
45, 0.520, 0.480
46, 0.509, 0.491
47, 0.520, 0.480
48, 0.518, 0.482
49, 0.514, 0.486
50, 0.514, 0.486
51, 0.508, 0.492
52, 0.516, 0.484
53, 0.519, 0.481
54, 0.505, 0.495
55, 0.522, 0.478
56, 0.506, 0.494
57, 0.525, 0.475
58, 0.508, 0.492
59, 0.527, 0.473
60, 0.507, 0.493
61, 0.518, 0.482
62, 0.514, 0.486
63, 0.518, 0.482
64, 0.509, 0.491
65, 0.515, 0.485
66, 0.510, 0.490
67, 0.514, 0.486
68, 0.507, 0.493
69, 0.513, 0.487
70, 0.519, 0.481
71, 0.499, 0.501
72, 0.522, 0.478
73, 0.514, 0.486
74, 0.506, 0.494
75, 0.513, 0.487
76, 0.517, 0.483
77, 0.505, 0.495
78, 0.518, 0.482
79, 0.511, 0.489
80, 0.516, 0.484
81, 0.515, 0.485
82, 0.514, 0.486
83, 0.520, 0.480
84, 0.505, 0.495
85, 0.521, 0.479
86, 0.510, 0.490
87, 0.505, 0.495
88, 0.520, 0.480
89, 0.503, 0.497
90, 0.521, 0.479
91, 0.507, 0.493
92, 0.516, 0.484
93, 0.511, 0.489
94, 0.522, 0.478
95, 0.509, 0.491
96, 0.516, 0.484
97, 0.507, 0.493
98, 0.512, 0.488
99, 0.516, 0.484
