time, infected, susceptable
0, 0.016, 0.984
1, 0.061, 0.939
2, 0.121, 0.879
3, 0.187, 0.813
4, 0.261, 0.739
5, 0.357, 0.643
6, 0.471, 0.529
7, 0.564, 0.436
8, 0.647, 0.353
9, 0.701, 0.299
10, 0.750, 0.250
11, 0.771, 0.229
12, 0.789, 0.211
13, 0.811, 0.189
14, 0.817, 0.183
15, 0.828, 0.172
16, 0.827, 0.173
17, 0.824, 0.176
18, 0.819, 0.181
19, 0.821, 0.179
20, 0.820, 0.180
21, 0.821, 0.179
22, 0.840, 0.160
23, 0.832, 0.168
24, 0.821, 0.179
25, 0.829, 0.171
26, 0.823, 0.177
27, 0.825, 0.175
28, 0.831, 0.169
29, 0.818, 0.182
30, 0.842, 0.158
31, 0.815, 0.185
32, 0.842, 0.158
33, 0.830, 0.170
34, 0.819, 0.181
35, 0.830, 0.170
36, 0.828, 0.172
37, 0.836, 0.164
38, 0.820, 0.180
39, 0.826, 0.174
40, 0.832, 0.168
41, 0.813, 0.188
42, 0.825, 0.175
43, 0.841, 0.159
44, 0.811, 0.189
45, 0.829, 0.171
46, 0.834, 0.166
47, 0.829, 0.171
48, 0.818, 0.182
49, 0.824, 0.176
50, 0.824, 0.176
51, 0.830, 0.170
52, 0.823, 0.177
53, 0.842, 0.158
54, 0.829, 0.171
55, 0.822, 0.178
56, 0.829, 0.171
57, 0.824, 0.176
58, 0.820, 0.180
59, 0.828, 0.172
60, 0.825, 0.175
61, 0.832, 0.168
62, 0.816, 0.184
63, 0.832, 0.168
64, 0.837, 0.163
65, 0.819, 0.181
66, 0.814, 0.186
67, 0.820, 0.180
68, 0.826, 0.174
69, 0.821, 0.179
70, 0.815, 0.185
71, 0.836, 0.164
72, 0.821, 0.179
73, 0.827, 0.173
74, 0.817, 0.183
75, 0.825, 0.175
76, 0.808, 0.192
77, 0.833, 0.167
78, 0.814, 0.186
79, 0.818, 0.182
80, 0.805, 0.195
81, 0.825, 0.175
82, 0.808, 0.192
83, 0.824, 0.176
84, 0.836, 0.164
85, 0.827, 0.173
86, 0.826, 0.174
87, 0.818, 0.182
88, 0.842, 0.158
89, 0.828, 0.172
90, 0.823, 0.177
91, 0.827, 0.173
92, 0.828, 0.172
93, 0.830, 0.170
94, 0.834, 0.166
95, 0.847, 0.153
96, 0.831, 0.169
97, 0.832, 0.168
98, 0.828, 0.172
99, 0.834, 0.166
