time, infected, susceptable
0, 0.016, 0.984
1, 0.016, 0.984
2, 0.016, 0.984
3, 0.021, 0.979
4, 0.032, 0.968
5, 0.040, 0.960
6, 0.054, 0.946
7, 0.084, 0.916
8, 0.105, 0.895
9, 0.140, 0.860
10, 0.170, 0.830
11, 0.193, 0.807
12, 0.215, 0.785
13, 0.241, 0.759
14, 0.253, 0.747
15, 0.289, 0.711
16, 0.295, 0.705
17, 0.301, 0.699
18, 0.317, 0.683
19, 0.327, 0.673
20, 0.327, 0.673
21, 0.323, 0.677
22, 0.327, 0.673
23, 0.330, 0.670
24, 0.337, 0.663
25, 0.336, 0.664
26, 0.320, 0.680
27, 0.313, 0.687
28, 0.313, 0.687
29, 0.330, 0.670
30, 0.338, 0.662
31, 0.356, 0.644
32, 0.346, 0.654
33, 0.342, 0.658
34, 0.322, 0.678
35, 0.316, 0.684
36, 0.312, 0.688
37, 0.327, 0.673
38, 0.334, 0.666
39, 0.334, 0.666
40, 0.327, 0.673
41, 0.330, 0.670
42, 0.335, 0.665
43, 0.333, 0.667
44, 0.329, 0.671
45, 0.324, 0.676
46, 0.338, 0.662
47, 0.341, 0.659
48, 0.340, 0.660
49, 0.339, 0.661
50, 0.337, 0.663
51, 0.346, 0.654
52, 0.331, 0.669
53, 0.331, 0.669
54, 0.349, 0.651
55, 0.357, 0.643
56, 0.352, 0.648
57, 0.340, 0.660
58, 0.332, 0.668
59, 0.325, 0.675
60, 0.316, 0.684
61, 0.309, 0.691
62, 0.316, 0.684
63, 0.303, 0.697
64, 0.307, 0.693
65, 0.325, 0.675
66, 0.322, 0.678
67, 0.316, 0.684
68, 0.322, 0.678
69, 0.316, 0.684
70, 0.320, 0.680
71, 0.309, 0.691
72, 0.323, 0.677
73, 0.326, 0.674
74, 0.313, 0.687
75, 0.331, 0.669
76, 0.329, 0.671
77, 0.340, 0.660
78, 0.345, 0.655
79, 0.347, 0.653
80, 0.335, 0.665
81, 0.339, 0.661
82, 0.321, 0.679
83, 0.330, 0.670
84, 0.336, 0.664
85, 0.332, 0.668
86, 0.345, 0.655
87, 0.327, 0.673
88, 0.332, 0.668
89, 0.327, 0.673
90, 0.328, 0.672
91, 0.332, 0.668
92, 0.325, 0.675
93, 0.326, 0.674
94, 0.327, 0.673
95, 0.335, 0.665
96, 0.334, 0.666
97, 0.328, 0.672
98, 0.321, 0.679
99, 0.318, 0.682
