time, infected, susceptable
0, 0.040, 0.960
1, 0.496, 0.504
2, 0.545, 0.455
3, 0.514, 0.486
4, 0.525, 0.475
5, 0.530, 0.470
6, 0.523, 0.477
7, 0.526, 0.474
8, 0.525, 0.475
9, 0.508, 0.492
10, 0.526, 0.474
11, 0.513, 0.487
12, 0.527, 0.473
13, 0.522, 0.478
14, 0.529, 0.471
15, 0.523, 0.477
16, 0.536, 0.464
17, 0.498, 0.502
18, 0.540, 0.460
19, 0.498, 0.502
20, 0.544, 0.456
21, 0.501, 0.499
22, 0.564, 0.436
23, 0.504, 0.496
24, 0.544, 0.456
25, 0.517, 0.483
26, 0.532, 0.468
27, 0.511, 0.489
28, 0.536, 0.464
29, 0.520, 0.480
30, 0.528, 0.472
31, 0.519, 0.481
32, 0.525, 0.475
33, 0.519, 0.481
34, 0.523, 0.477
35, 0.518, 0.482
36, 0.518, 0.482
37, 0.540, 0.460
38, 0.505, 0.495
39, 0.553, 0.447
40, 0.485, 0.515
41, 0.555, 0.445
42, 0.482, 0.518
43, 0.569, 0.431
44, 0.480, 0.520
45, 0.571, 0.429
46, 0.486, 0.514
47, 0.568, 0.432
48, 0.477, 0.523
49, 0.570, 0.430
50, 0.474, 0.526
51, 0.576, 0.424
52, 0.475, 0.525
53, 0.566, 0.434
54, 0.482, 0.518
55, 0.560, 0.440
56, 0.501, 0.499
57, 0.544, 0.456
58, 0.516, 0.484
59, 0.521, 0.479
60, 0.540, 0.460
61, 0.514, 0.486
62, 0.546, 0.454
63, 0.492, 0.508
64, 0.564, 0.436
65, 0.486, 0.514
66, 0.552, 0.448
67, 0.489, 0.511
68, 0.554, 0.446
69, 0.498, 0.502
70, 0.530, 0.470
71, 0.512, 0.488
72, 0.533, 0.467
73, 0.521, 0.479
74, 0.540, 0.460
75, 0.530, 0.470
76, 0.519, 0.481
77, 0.527, 0.473
78, 0.525, 0.475
79, 0.517, 0.483
80, 0.542, 0.458
81, 0.503, 0.497
82, 0.553, 0.447
83, 0.482, 0.518
84, 0.558, 0.442
85, 0.469, 0.531
86, 0.562, 0.438
87, 0.491, 0.509
88, 0.569, 0.431
89, 0.486, 0.514
90, 0.566, 0.434
91, 0.480, 0.520
92, 0.547, 0.453
93, 0.478, 0.522
94, 0.565, 0.435
95, 0.472, 0.528
96, 0.548, 0.452
97, 0.498, 0.502
98, 0.533, 0.467
99, 0.502, 0.498
