time, infected, susceptable
0, 0.040, 0.960
1, 0.050, 0.950
2, 0.066, 0.934
3, 0.064, 0.936
4, 0.076, 0.924
5, 0.096, 0.904
6, 0.109, 0.891
7, 0.112, 0.888
8, 0.112, 0.888
9, 0.120, 0.880
10, 0.125, 0.875
11, 0.123, 0.877
12, 0.133, 0.867
13, 0.148, 0.852
14, 0.151, 0.849
15, 0.157, 0.843
16, 0.173, 0.827
17, 0.189, 0.811
18, 0.186, 0.814
19, 0.198, 0.802
20, 0.209, 0.791
21, 0.225, 0.775
22, 0.239, 0.761
23, 0.245, 0.755
24, 0.253, 0.747
25, 0.278, 0.722
26, 0.296, 0.704
27, 0.317, 0.683
28, 0.333, 0.667
29, 0.327, 0.673
30, 0.346, 0.654
31, 0.347, 0.653
32, 0.332, 0.668
33, 0.313, 0.687
34, 0.323, 0.677
35, 0.341, 0.659
36, 0.345, 0.655
37, 0.364, 0.636
38, 0.374, 0.626
39, 0.361, 0.639
40, 0.363, 0.637
41, 0.360, 0.640
42, 0.389, 0.611
43, 0.375, 0.625
44, 0.387, 0.613
45, 0.394, 0.606
46, 0.402, 0.598
47, 0.409, 0.591
48, 0.392, 0.608
49, 0.393, 0.607
50, 0.394, 0.606
51, 0.396, 0.604
52, 0.404, 0.596
53, 0.392, 0.608
54, 0.376, 0.624
55, 0.388, 0.612
56, 0.381, 0.619
57, 0.376, 0.624
58, 0.354, 0.646
59, 0.362, 0.638
60, 0.352, 0.648
61, 0.348, 0.652
62, 0.347, 0.653
63, 0.377, 0.623
64, 0.377, 0.623
65, 0.370, 0.630
66, 0.365, 0.635
67, 0.384, 0.616
68, 0.383, 0.617
69, 0.404, 0.596
70, 0.407, 0.593
71, 0.401, 0.599
72, 0.419, 0.581
73, 0.414, 0.586
74, 0.381, 0.619
75, 0.386, 0.614
76, 0.403, 0.597
77, 0.395, 0.605
78, 0.386, 0.614
79, 0.392, 0.608
80, 0.398, 0.602
81, 0.387, 0.613
82, 0.398, 0.602
83, 0.384, 0.616
84, 0.385, 0.615
85, 0.375, 0.625
86, 0.381, 0.619
87, 0.391, 0.609
88, 0.391, 0.609
89, 0.362, 0.638
90, 0.371, 0.629
91, 0.386, 0.614
92, 0.382, 0.618
93, 0.376, 0.624
94, 0.377, 0.623
95, 0.397, 0.603
96, 0.387, 0.613
97, 0.366, 0.634
98, 0.395, 0.605
99, 0.411, 0.589
