time, infected, susceptable
0, 0.040, 0.960
1, 0.049, 0.951
2, 0.055, 0.945
3, 0.083, 0.917
4, 0.123, 0.877
5, 0.145, 0.855
6, 0.165, 0.835
7, 0.193, 0.807
8, 0.209, 0.791
9, 0.231, 0.769
10, 0.249, 0.751
11, 0.268, 0.732
12, 0.288, 0.712
13, 0.326, 0.674
14, 0.315, 0.685
15, 0.318, 0.682
16, 0.334, 0.666
17, 0.349, 0.651
18, 0.347, 0.653
19, 0.389, 0.611
20, 0.377, 0.623
21, 0.378, 0.622
22, 0.375, 0.625
23, 0.365, 0.635
24, 0.375, 0.625
25, 0.392, 0.608
26, 0.362, 0.638
27, 0.375, 0.625
28, 0.379, 0.621
29, 0.390, 0.610
30, 0.388, 0.612
31, 0.380, 0.620
32, 0.362, 0.638
33, 0.353, 0.647
34, 0.361, 0.639
35, 0.346, 0.654
36, 0.358, 0.642
37, 0.363, 0.637
38, 0.375, 0.625
39, 0.370, 0.630
40, 0.367, 0.633
41, 0.370, 0.630
42, 0.367, 0.633
43, 0.364, 0.636
44, 0.371, 0.629
45, 0.400, 0.600
46, 0.396, 0.604
47, 0.368, 0.632
48, 0.362, 0.638
49, 0.372, 0.628
50, 0.361, 0.639
51, 0.376, 0.624
52, 0.371, 0.629
53, 0.387, 0.613
54, 0.372, 0.628
55, 0.382, 0.618
56, 0.382, 0.618
57, 0.381, 0.619
58, 0.398, 0.602
59, 0.377, 0.623
60, 0.363, 0.637
61, 0.375, 0.625
62, 0.378, 0.622
63, 0.376, 0.624
64, 0.374, 0.626
65, 0.361, 0.639
66, 0.372, 0.628
67, 0.385, 0.615
68, 0.400, 0.600
69, 0.412, 0.588
70, 0.400, 0.600
71, 0.400, 0.600
72, 0.393, 0.607
73, 0.407, 0.593
74, 0.395, 0.605
75, 0.395, 0.605
76, 0.406, 0.594
77, 0.402, 0.598
78, 0.400, 0.600
79, 0.392, 0.608
80, 0.384, 0.616
81, 0.372, 0.628
82, 0.366, 0.634
83, 0.378, 0.622
84, 0.387, 0.613
85, 0.387, 0.613
86, 0.401, 0.599
87, 0.409, 0.591
88, 0.403, 0.597
89, 0.403, 0.597
90, 0.409, 0.591
91, 0.385, 0.615
92, 0.369, 0.631
93, 0.378, 0.622
94, 0.367, 0.633
95, 0.356, 0.644
96, 0.357, 0.643
97, 0.369, 0.631
98, 0.373, 0.627
99, 0.383, 0.617
