time, infected, susceptable
0, 0.040, 0.960
1, 0.150, 0.850
2, 0.478, 0.522
3, 0.747, 0.253
4, 0.810, 0.190
5, 0.796, 0.204
6, 0.806, 0.194
7, 0.809, 0.191
8, 0.803, 0.197
9, 0.826, 0.174
10, 0.817, 0.183
11, 0.831, 0.169
12, 0.811, 0.189
13, 0.829, 0.171
14, 0.835, 0.165
15, 0.804, 0.196
16, 0.811, 0.189
17, 0.807, 0.193
18, 0.823, 0.177
19, 0.813, 0.187
20, 0.820, 0.180
21, 0.821, 0.179
22, 0.817, 0.183
23, 0.824, 0.176
24, 0.839, 0.161
25, 0.836, 0.164
26, 0.820, 0.180
27, 0.824, 0.176
28, 0.823, 0.177
29, 0.811, 0.189
30, 0.830, 0.170
31, 0.830, 0.170
32, 0.825, 0.175
33, 0.819, 0.181
34, 0.813, 0.187
35, 0.809, 0.191
36, 0.815, 0.185
37, 0.823, 0.177
38, 0.824, 0.176
39, 0.827, 0.173
40, 0.793, 0.207
41, 0.835, 0.165
42, 0.809, 0.191
43, 0.815, 0.185
44, 0.804, 0.196
45, 0.849, 0.151
46, 0.806, 0.194
47, 0.838, 0.162
48, 0.802, 0.198
49, 0.797, 0.203
50, 0.791, 0.209
51, 0.832, 0.168
52, 0.819, 0.181
53, 0.828, 0.172
54, 0.813, 0.187
55, 0.831, 0.169
56, 0.799, 0.201
57, 0.819, 0.181
58, 0.842, 0.158
59, 0.812, 0.188
60, 0.814, 0.186
61, 0.833, 0.167
62, 0.821, 0.179
63, 0.793, 0.207
64, 0.823, 0.177
65, 0.812, 0.188
66, 0.804, 0.196
67, 0.829, 0.171
68, 0.808, 0.192
69, 0.825, 0.175
70, 0.795, 0.205
71, 0.825, 0.175
72, 0.804, 0.196
73, 0.802, 0.198
74, 0.809, 0.191
75, 0.804, 0.196
76, 0.805, 0.195
77, 0.833, 0.167
78, 0.837, 0.163
79, 0.819, 0.181
80, 0.806, 0.194
81, 0.820, 0.180
82, 0.815, 0.185
83, 0.805, 0.195
84, 0.822, 0.178
85, 0.825, 0.175
86, 0.827, 0.173
87, 0.813, 0.187
88, 0.831, 0.169
89, 0.813, 0.187
90, 0.794, 0.206
91, 0.820, 0.180
92, 0.811, 0.189
93, 0.806, 0.194
94, 0.825, 0.175
95, 0.820, 0.180
96, 0.808, 0.192
97, 0.826, 0.174
98, 0.829, 0.171
99, 0.821, 0.179
