time, infected, susceptable
0, 0.040, 0.960
1, 0.391, 0.609
2, 0.899, 0.101
3, 0.819, 0.181
4, 0.842, 0.158
5, 0.839, 0.161
6, 0.840, 0.160
7, 0.825, 0.175
8, 0.833, 0.167
9, 0.824, 0.176
10, 0.840, 0.160
11, 0.820, 0.180
12, 0.825, 0.175
13, 0.844, 0.156
14, 0.829, 0.171
15, 0.847, 0.153
16, 0.807, 0.193
17, 0.829, 0.171
18, 0.820, 0.180
19, 0.845, 0.155
20, 0.831, 0.169
21, 0.831, 0.169
22, 0.841, 0.159
23, 0.827, 0.173
24, 0.817, 0.183
25, 0.833, 0.167
26, 0.874, 0.126
27, 0.826, 0.174
28, 0.818, 0.182
29, 0.814, 0.186
30, 0.814, 0.186
31, 0.839, 0.161
32, 0.842, 0.158
33, 0.848, 0.152
34, 0.840, 0.160
35, 0.837, 0.163
36, 0.836, 0.164
37, 0.841, 0.159
38, 0.838, 0.162
39, 0.820, 0.180
40, 0.818, 0.182
41, 0.816, 0.184
42, 0.852, 0.148
43, 0.820, 0.180
44, 0.834, 0.166
45, 0.828, 0.172
46, 0.838, 0.162
47, 0.837, 0.163
48, 0.824, 0.176
49, 0.860, 0.140
50, 0.850, 0.150
51, 0.811, 0.189
52, 0.828, 0.172
53, 0.825, 0.175
54, 0.818, 0.182
55, 0.834, 0.166
56, 0.839, 0.161
57, 0.850, 0.150
58, 0.838, 0.162
59, 0.847, 0.153
60, 0.839, 0.161
61, 0.837, 0.163
62, 0.816, 0.184
63, 0.843, 0.157
64, 0.798, 0.202
65, 0.833, 0.167
66, 0.842, 0.158
67, 0.800, 0.200
68, 0.838, 0.162
69, 0.803, 0.197
70, 0.846, 0.154
71, 0.788, 0.212
72, 0.839, 0.161
73, 0.826, 0.174
74, 0.821, 0.179
75, 0.843, 0.157
76, 0.818, 0.182
77, 0.845, 0.155
78, 0.824, 0.176
79, 0.818, 0.182
80, 0.811, 0.189
81, 0.839, 0.161
82, 0.820, 0.180
83, 0.828, 0.172
84, 0.803, 0.197
85, 0.833, 0.167
86, 0.807, 0.193
87, 0.824, 0.176
88, 0.850, 0.150
89, 0.843, 0.157
90, 0.846, 0.154
91, 0.815, 0.185
92, 0.832, 0.168
93, 0.831, 0.169
94, 0.850, 0.150
95, 0.787, 0.213
96, 0.856, 0.144
97, 0.818, 0.182
98, 0.846, 0.154
99, 0.824, 0.176
